Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0119908:Cultivo de melancia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2;0;0;0;1;24
0119909:Cultivo de tomate rasteiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;34;0;11;26;0;149;0;16;0;46;3;0;3;291
0119999:Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;4;5;21;62;12;0;33;18;4;116;73;1;0;0;66;5;11;6;1;4;0;1;0;7;0;1;2;15;5;1;0;13;0;16;11;0;27;9;2;64;0;9;66;3;1137;18;89;31;16;16;18;219;2238
0121101:Horticultura, exceto morango;0;6;3;252;6;0;5;2;10;24;4;1;2;1;12;6;64;13;1;0;5;3;0;28;0;0;27;176;6;15;0;15;1;4;12;6;3;53;39;128;0;0;227;4;253;21;5;45;11;7;9;1057;2572
0121102:Cultivo de morango;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;0;0;6;23
0122900:Cultivo de flores e plantas ornamentais;0;0;0;17;0;0;6;1;0;3;0;0;0;3;0;0;4;6;0;0;0;0;0;0;0;0;0;40;0;0;1;12;0;0;1;0;22;0;9;13;0;6;185;0;19;2;0;17;0;1;0;165;533
0131800:Cultivo de laranja;0;7;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;79;0;0;164;0;91;14;9;11;9;26;1;0;427
0132600:Cultivo de uva;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;25;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;5;0;0;0;1;1;0;0;0;3;0;0;0;0;5;47
0133401:Cultivo de açaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
0133402:Cultivo de banana;0;2;0;6;0;0;0;0;0;1;0;0;0;5;0;0;0;26;0;9;0;0;0;0;0;0;0;6;0;15;0;42;0;0;1;0;1;0;1;62;0;0;7;8;7;8;6;4;2;3;0;52;274
0133403:Cultivo de caju;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0133404:Cultivo de cítricos, exceto laranja;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;8;0;0;26;0;3;0;0;0;1;0;0;2;45
0133405:Cultivo de coco-da-baía;0;2;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;4;0;0;3;2;0;0;5;3;0;0;0;4;31
0133408:Cultivo de mamão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;4;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;19
0133409:Cultivo de maracujá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;6
